topic_id,DFID region,score,share,total_score,total_share,deviation,id,title,top_words,Topic ID,Aggregated meta-topic,Aggregated topic,Topic,color,short_title
213182,"Eastern and Southern
Europe (excluding Russia)",7.9248051227941705,0.020427950107793066,53.732182020005915,0.01074607952136912,1.9009677033536798,213182,"Cold, Cold & extreme temperatures","['cold', 'spell', 'hot', 'wave', 'extrem', 'cvd', 'winter', 'effect', 'attribut', 'coldrel']",213182,Exposure,Heat,Cold & extreme temperatures,#fbb4ae,Cold
213178,"Eastern and Southern
Europe (excluding Russia)",8.29101324127437,0.02137193309001997,54.35726863708769,0.010871092693036025,1.9659415749173712,213178,"Thermal stress, Thermal stress & comfort","['thermal', 'stress', 'comfort', 'index', 'indic', 'utci', 'pet', 'wbgt', 'condit', 'physiolog']",213178,Health impact,Chronic,Thermal stress & comfort,#fed9a6,Thermal stress
213125,"Eastern and Southern
Europe (excluding Russia)",20.739633260388775,0.053461023575021145,102.61671428753301,0.020522661289743824,2.604975194018245,213125,"Mortality, Mortality","['mortal', 'cardiovascular', 'allcaus', 'respiratori', 'excess', 'rate', 'estim', 'daili', 'increas', 'citi']",213125,Health impact,All-cause mortality,Mortality,#fed9a6,Mortality
213141,"Eastern and Southern
Europe (excluding Russia)",12.645259352832547,0.03259597216047228,61.206378268958005,0.012240869128455118,2.662880537191571,213141,"Heatwave, Heatwaves","['heatwav', 'definit', 'dure', 'intens', 'day', 'durat', 'excess', 'period', 'warn', 'impact']",213141,Exposure,Heat,Heatwaves,#fbb4ae,Heatwave
213132,"Eastern and Southern
Europe (excluding Russia)",10.87418003618998,0.028030620791357198,40.88972486219442,0.008177673387848708,3.4277011885811186,213132,"Pollen, Pollen & allergies","['pollen', 'allergen', 'airborn', 'allergi', 'grass', 'grain', 'allerg', 'count', 'poacea', 'concentr']",213132,Health impact,Respiratory,Pollen & allergies,#fed9a6,Pollen
213174,"Eastern and Southern
Europe (excluding Russia)",7.703108787729616,0.019856478431000274,27.269731118605872,0.005453765101476527,3.6408752598501946,213174,"Spores, Fungal spores","['spore', 'fungal', 'airborn', 'alternaria', 'cladosporium', 'fungi', 'concentr', 'allergen', 'bioaerosol', 'type']",213174,Health impact,Respiratory,Fungal spores,#fed9a6,Spores
213148,"Latin America 
and the Caribbean",0.12585469009327985,0.00031577356274232907,29.219310855491994,0.00584366809998174,0.054036875014054235,213148,"HFMD, Hand-foot-and-mouth disease","['hfmd', 'foot', 'mouth', 'hand', 'factor', 'diseas', 'meteorolog', 'childhood', 'humid', 'relat']",213148,Health impact,Infectious,HFMD,#fed9a6,HFMD
213171,"Latin America 
and the Caribbean",0.23930950944337265,0.0006004354413732559,20.20282776066396,0.004040431367402612,0.1486067666480981,213171,"DTR, Diurnal temperature range","['dtr', 'diurnal', 'effect', 'rang', 'childhood', 'elder', 'nonaccident', 'modifi', 'hefei', 'nonlinear']",213171,Exposure,Heat,Diurnal temperature range,#fbb4ae,DTR
213191,"Latin America 
and the Caribbean",1.1618168833254954,0.00291503682723279,67.48700510028993,0.013496952779560305,0.2159774042958276,213191,"China, China","['china', 'provinc', 'haze', 'hfrs', 'chines', 'region', 'control', 'north', 'guangzhou', 'mainland']",213191,Mediating pathways,Geographic exposure,China,#b3cde3,China
213172,"Latin America 
and the Caribbean",0.9842363545093474,0.0024694814314316442,53.75251133304815,0.010750145248952738,0.2297160991077974,213172,"Mental, Mental health & PTSD","['mental', 'ptsd', 'disord', 'depress', 'stress', 'posttraumat', 'psycholog', 'anxieti', 'survivor', 'health']",213172,Health impact,Mental health,Mental health & PTSD,#fed9a6,Mental
213131,"Latin America 
and the Caribbean",2.2359300410239067,0.005610022118154032,82.3526908903619,0.016469991201493773,0.34062083273275956,213131,"Heat stress, Heat stress","['heat', 'stress', 'heatrel', 'ill', 'extrem', 'worker', 'dure', 'wbgt', 'island', 'work']",213131,Health impact,Chronic,Heat stress,#fed9a6,Heat stress
213164,"Latin America 
and the Caribbean",1.2964714525962306,0.003252889576674539,46.02384840450523,0.009204463996085377,0.3534034766237317,213164,"Symptom, Symptoms","['symptom', 'depress', 'associ', 'respiratori', 'posttraumat', 'score', 'particip', 'report', 'parent', 'pts']",213164,Other,Methods,Symptoms,#bdbdbd,Symptom
213181,"Latin America 
and the Caribbean",1.4246847540969405,0.003574580973124113,49.439581494319235,0.009887587927163528,0.36152204151873063,213181,"In-/out-door, Indoor/outdoor (pollution & heat)","['indoor', 'outdoor', 'home', 'build', 'hous', 'ventil', 'environ', 'school', 'humid', 'measur']",213181,Mediating pathways,Geographic exposure,Building design,#b3cde3,In-/out-door
213151,"Latin America 
and the Caribbean",1.6310912993853104,0.00409246179370169,56.41497072831313,0.011282619444273546,0.3627226650615079,213151,"Farmer, Farmers & agriculture","['farmer', 'crop', 'agricultur', 'farm', 'product', 'percept', 'yield', 'pest', 'smallhold', 'rice']",213151,Health impact,Food & nutrition,Farmers & agriculture,#fed9a6,Farmer
213152,"Latin America 
and the Caribbean",1.4268540174057465,0.0035800237262153182,46.77409061189666,0.009354507454545972,0.3827057430453539,213152,"Food, Food insecurity","['food', 'insecur', 'secur', 'hunger', 'nutrit', 'agricultur', 'product', 'africa', 'price', 'countri']",213152,Health impact,Food & nutrition,Food insecurity,#fed9a6,Food
213133,"Latin America 
and the Caribbean",2.2877018180161253,0.005739919211843726,71.81708175693267,0.014362939351045193,0.39963402139033827,213133,"Flood, Floods","['flood', 'damag', 'river', 'flash', 'event', 'impact', 'peopl', 'fatal', 'area', 'dysenteri']",213133,Exposure,Extreme precipitation & flooding,Floods,#fbb4ae,Flood
213161,"Latin America 
and the Caribbean",2.262433637841669,0.005676520515523475,67.09987506349799,0.013419529343472639,0.42300444152943245,213161,"Patients, Patients","['patient', 'acut', 'medic', 'clinic', 'care', 'day', 'pressur', 'number', 'diabet', 'admit']",213161,Health impact,Health system demand,Patients,#fed9a6,Patients
213126,"Latin America 
and the Caribbean",2.9066588578676726,0.007292902811529258,76.53132476391538,0.015305756641011803,0.4764810379898444,213126,"Disaster, Natural disasters","['disast', 'natur', 'prepared', 'manag', 'respons', 'peopl', 'reduct', 'earthquak', 'emerg', 'affect']",213126,Intervention option,Disaster risk reduction,Disaster risk reduction,#ccebc5,Disaster
213167,"Latin America 
and the Caribbean",2.3099369072386082,0.0057957077830640205,60.59918110393669,0.012119433728380735,0.4782160547230765,213167,"Hurricane, Hurricanes","['hurrican', 'evacu', 'sandi', 'storm', 'katrina', 'new', 'recoveri', 'york', 'resid', 'damag']",213167,Exposure,Extreme precipitation & flooding,Hurricanes,#fbb4ae,Hurricane
213157,"Latin America 
and the Caribbean",1.8704466636145394,0.004693012286242987,47.965932484047656,0.009592867912907097,0.48921889979623207,213157,"Fire, Wildfires","['fire', 'wildfir', 'smoke', 'burn', 'forest', 'biomass', 'wildland', 'impact', 'qualiti', 'plume']",213157,Exposure,Drought,Wildfires,#fbb4ae,Fire
213155,"Latin America 
and the Caribbean",1.2203485773175689,0.0030618947753277073,31.117389400543868,0.006223271202184768,0.4920072861765667,213155,"Stroke, Stroke","['stroke', 'ischem', 'hemorrhag', 'associ', 'subtyp', 'day', 'onset', 'ich', 'sah', 'cerebrovascular']",213155,Health impact,Chronic,Stroke,#fed9a6,Stroke
213184,"Latin America 
and the Caribbean",1.9702250259212548,0.004943359483688185,49.81261672038124,0.00996219249472123,0.49621200215791594,213184,"Injury, Occupational injury","['injuri', 'worker', 'occup', 'work', 'accid', 'workplac', 'safeti', 'wbgt', 'ill', 'workrel']",213184,Health impact,Occupational health & injury,Occupational injury,#fed9a6,Injury
213178,"Latin America 
and the Caribbean",2.1966780787297857,0.005511537651909226,54.35726863708769,0.010871092693036025,0.5069902177763503,213178,"Thermal stress, Thermal stress & comfort","['thermal', 'stress', 'comfort', 'index', 'indic', 'utci', 'pet', 'wbgt', 'condit', 'physiolog']",213178,Health impact,Chronic,Thermal stress & comfort,#fed9a6,Thermal stress
213183,"Latin America 
and the Caribbean",1.6526348189652338,0.00414651519391045,37.70882019346359,0.007541513581285319,0.5498253300504896,213183,"Asthma, Asthma","['asthma', 'childhood', 'exacerb', 'allerg', 'rhiniti', 'thunderstorm', 'associ', 'smoke', 'asthmat', 'preval']",213183,Health impact,Respiratory,Asthma,#fed9a6,Asthma
213124,"Latin America 
and the Caribbean",4.404609130349893,0.011051309383441437,95.18658130320193,0.019036684042919173,0.5805270160772589,213124,"NOx/Vehicles, Emissions (NOx & vehicles)","['emiss', 'nox', 'vehicl', 'sourc', 'fuel', 'reduct', 'ship', 'carbon', 'contribut', 'transport']",213124,Exposure,Emissions,Emissions (Nox & vehicles),#fbb4ae,NOx/Vehicles
213190,"Latin America 
and the Caribbean",4.241886834678126,0.010643033783987807,90.91773989170672,0.01818294411374672,0.5853306107860404,213190,"Energy, Energy policy & co-benefits","['energi', 'cost', 'polici', 'benefit', 'cobenefit', 'mitig', 'electr', 'reduc', 'reduct', 'econom']",213190,Intervention option,Mitigation co-benefits,Energy policy & co-benefits,#ccebc5,Energy
213169,"Latin America 
and the Caribbean",3.6160127748050517,0.009072695153241146,77.40548071907742,0.015480582026006443,0.5860693827919109,213169,"Adaptation, Adaptation","['adapt', 'strategi', 'plan', 'polici', 'capac', 'climat', 'chang', 'govern', 'develop', 'local']",213169,Intervention option,Policy & practice,Adaptation,#ccebc5,Adaptation
213139,"Latin America 
and the Caribbean",4.012521913684059,0.010067549642580534,81.46214503349711,0.01629188794501832,0.6179486181439737,213139,"Resilience, Community resilience","['communiti', 'resili', 'social', 'local', 'particip', 'interview', 'knowledg', 'build', 'resid', 'percept']",213139,Intervention option,Developing community resilience,Community resilience,#ccebc5,Resilience
213147,"Latin America 
and the Caribbean",2.258569196317118,0.00566682450445458,45.511175759487806,0.009101932872191383,0.62259572598784,213147,"Birth, Birth & pregnancy","['birth', 'preterm', 'pregnanc', 'gestat', 'women', 'matern', 'weight', 'week', 'deliveri', 'trimest']",213147,Health impact,Maternal & child health,Birth & pregnancy,#fed9a6,Birth
213132,"Latin America 
and the Caribbean",2.042062091553832,0.0051236010474705156,40.88972486219442,0.008177673387848708,0.6265352997692142,213132,"Pollen, Pollen & allergies","['pollen', 'allergen', 'airborn', 'allergi', 'grass', 'grain', 'allerg', 'count', 'poacea', 'concentr']",213132,Health impact,Respiratory,Pollen & allergies,#fed9a6,Pollen
213182,"Latin America 
and the Caribbean",2.775702293037389,0.006964328477030432,53.732182020005915,0.01074607952136912,0.6480808617860602,213182,"Cold, Cold & extreme temperatures","['cold', 'spell', 'hot', 'wave', 'extrem', 'cvd', 'winter', 'effect', 'attribut', 'coldrel']",213182,Exposure,Heat,Cold & extreme temperatures,#fbb4ae,Cold
213176,"Latin America 
and the Caribbean",2.2502139040366465,0.00564586080092313,42.33482289202391,0.008466683395648869,0.666832635294312,213176,"Dust storm, Dust storms","['dust', 'storm', 'desert', 'sourc', 'event', 'asian', 'saharan', 'miner', 'aerosol', 'road']",213176,Exposure,Drought,Dust storms,#fbb4ae,Dust storm
213159,"Latin America 
and the Caribbean",2.8871716307670887,0.007244008716879632,51.18802604005537,0.010237265223354273,0.7076117067235764,213159,"Health facilities, Visit to health care facilities","['visit', 'emerg', 'outpati', 'depart', 'respiratori', 'room', 'increas', 'hospit', 'associ', 'daili']",213159,Health impact,Health system demand,Visits to health care facilities,#fed9a6,Health facilities
213166,"Latin America 
and the Caribbean",3.867265670908961,0.009703096945127136,67.66707669182229,0.013532965901853117,0.7169970733317562,213166,"Warming, Increasing temperature","['degre', 'increas', 'temperatur', 'threshold', 'warm', 'maximum', 'abov', 'mean', 'per', 'averag']",213166,Exposure,Heat,Increasing temperatures,#fbb4ae,Warming
213125,"Latin America 
and the Caribbean",5.942749883868939,0.014910555196036023,102.61671428753301,0.020522661289743824,0.7265410165633613,213125,"Mortality, Mortality","['mortal', 'cardiovascular', 'allcaus', 'respiratori', 'excess', 'rate', 'estim', 'daili', 'increas', 'citi']",213125,Health impact,All-cause mortality,Mortality,#fed9a6,Mortality
213188,"Latin America 
and the Caribbean",6.316490102443044,0.01584828171438644,108.28745837567492,0.021656772442978173,0.7317933342151807,213188,"Age & sex, Age & sex","['age', 'preval', 'group', 'year', 'women', 'among', 'older', 'adult', 'studi', 'particip']",213188,Mediating pathways,Demographic vulnerability,Age & Sex,#b3cde3,Age & sex
213173,"Latin America 
and the Caribbean",2.389111274651324,0.005994358878682732,40.38990663905842,0.008077713062953488,0.7420861365049515,213173,"Drought, Drought","['drought', 'impact', 'veget', 'sever', 'agricultur', 'index', 'vhi', 'shock', 'rural', 'region']",213173,Exposure,Drought,Drought,#fbb4ae,Drought
213149,"Latin America 
and the Caribbean",5.099610280337348,0.012795090160136328,85.4803968727429,0.017095511624126414,0.7484473376087193,213149,"Extreme weather, Extreme weather events","['extrem', 'event', 'weather', 'precipit', 'frequenc', 'condit', 'increas', 'day', 'intens', 'impact']",213149,Exposure,Extreme precipitation & flooding,Extreme weather events,#fbb4ae,Extreme weather
213185,"Latin America 
and the Caribbean",5.779838582219605,0.014501805374359354,96.81799649953197,0.019362956246523434,0.7489458319136115,213185,"Exposure, Exposure","['exposur', 'associ', 'estim', 'ambient', 'increas', 'person', 'shortterm', 'adjust', 'studi', 'use']",213185,Other,Methods,Exposure,#bdbdbd,Exposure
213141,"Latin America 
and the Caribbean",3.6729352799337063,0.009215515593475606,61.206378268958005,0.012240869128455118,0.7528481431153629,213141,"Heatwave, Heatwaves","['heatwav', 'definit', 'dure', 'intens', 'day', 'durat', 'excess', 'period', 'warn', 'impact']",213141,Exposure,Heat,Heatwaves,#fbb4ae,Heatwave
213179,"Latin America 
and the Caribbean",4.406236036498148,0.011055391344553104,72.80364519362617,0.014560245485749277,0.7592860543026887,213179,"RCP, Greenhouse pathways","['scenario', 'project', 'rcp', 'futur', 'pathway', 'increas', 'simul', 'popul', 'global', 'model']",213179,Intervention option,Mitigation co-benefits,Greenhouse pathways,#ccebc5,RCP
213145,"Latin America 
and the Caribbean",5.779812753590911,0.01450174056947924,93.44365219501358,0.01868810979760512,0.7759875517928324,213145,"Temporal, Temporal analyses","['day', 'lag', 'associ', 'daili', 'effect', 'week', 'cumul', 'model', 'nonlinear', 'increas']",213145,Other,Methods,Temporal analyses,#bdbdbd,Temporal
213130,"Latin America 
and the Caribbean",6.6479560160863524,0.016679940609269195,106.79073617147658,0.02135743794318574,0.7809897729137993,213130,"PM2.5-10, Particulate matter","['particulatematt', 'particul', 'matter', 'concentr', 'fine', 'pollut', 'diamet', 'μgm', 'level', 'respect']",213130,Exposure,Emissions,Particulate matter,#fbb4ae,PM2.5-10
213144,"Latin America 
and the Caribbean",8.694003079268713,0.021813540081809406,139.5712953315662,0.02791333205070796,0.7814738864633738,213144,"Public health, Public health","['health', 'public', 'review', 'impact', 'research', 'system', 'environment', 'literatur', 'care', 'outcom']",213144,Health impact,Health system demand,Public health ,#fed9a6,Public health
213153,"Latin America 
and the Caribbean",2.8645164723373773,0.007187166178182507,45.85873901566498,0.009171443214953851,0.7836461514000304,213153,"Ozone, Emissions (ozone)","['ozon', 'concentr', 'ppb', 'nox', 'tropospher', 'precursor', 'surfac', 'voc', 'groundlevel', 'nitrogen']",213153,Exposure,Emissions,Emissions (ozone),#fbb4ae,Ozone
213122,"Latin America 
and the Caribbean",9.579421485750322,0.02403508402685514,142.9098677048138,0.02858102435096494,0.8409455074707173,213122,"Climate change, General climate change","['climat', 'chang', 'impact', 'global', 'increas', 'human', 'mitig', 'futur', 'affect', 'consequ']",213122,Exposure,General climate change,General climate change,#fbb4ae,Climate change
213187,"Latin America 
and the Caribbean",4.489733244288358,0.01126488858906111,66.47240247747139,0.013294038993864084,0.8473638895041953,213187,"Household, Rural households","['household', 'stove', 'rural', 'fuel', 'cook', 'survey', 'use', 'incom', 'shock', 'biomass']",213187,Mediating pathways,Geographic exposure,Rural households,#b3cde3,Household
213150,"Latin America 
and the Caribbean",6.788495020365047,0.017032557599962594,99.4615382540734,0.019891647039348207,0.8562668323176069,213150,"Particulates, Particle concentration (air)","['concentr', 'particl', 'site', 'aerosol', 'mass', 'measur', 'dure', 'sourc', 'carbon', 'averag']",213150,Exposure,Emissions,Particulate concentration (air),#fbb4ae,Particulates
213123,"Latin America 
and the Caribbean",8.665110300695806,0.0217410471487234,120.81875832905361,0.02416294920228041,0.8997679449937163,213123,"Air pollution, Air pollution","['pollut', 'air', 'qualiti', 'dioxid', 'level', 'citi', 'particul', 'effect', 'matter', 'nitrogen']",213123,Health impact,Respiratory,Air pollution,#fed9a6,Air pollution
213143,"Latin America 
and the Caribbean",4.785678654894908,0.012007425371879517,66.21897851994918,0.013243355885570813,0.9066754284661418,213143,"Water, Drinking water quality","['water', 'drink', 'sourc', 'suppli', 'contamin', 'qualiti', 'groundwat', 'sanit', 'sampl', 'coli']",213143,Health impact,WASH,Drinking water quality,#fed9a6,Water
213140,"Latin America 
and the Caribbean",8.514967515544987,0.021364333955500404,116.62575375262,0.023324376136421226,0.9159659332598312,213140,"Temperature, Ambient temperature","['temperatur', 'effect', 'ambient', 'daili', 'mean', 'percentil', 'high', 'nonlinear', 'associ', 'minimum']",213140,Exposure,Heat,Ambient temperature,#fbb4ae,Temperature
213177,"Latin America 
and the Caribbean",5.625098399986421,0.01411355716043142,72.44406093459777,0.014488331022258607,0.9741327098855337,213177,"Death, Death","['death', 'caus', 'excess', 'estim', 'attribut', 'fatal', 'year', 'number', 'rate', 'prematur']",213177,Health impact,All-cause mortality,Death,#fed9a6,Death
213162,"Latin America 
and the Caribbean",4.936578295594573,0.012386037540603256,63.38852402067381,0.012677283785251021,0.9770261319710609,213162,"Child, Child health","['children', 'child', 'age', 'school', 'childhood', 'parent', 'year', 'pneumonia', 'stunt', 'among']",213162,Health impact,Maternal & child health,Child health,#fed9a6,Child
213170,"Latin America 
and the Caribbean",8.653600935308305,0.021712169771880147,110.1009872376934,0.022019466170143255,0.9860443302354087,213170,"Risk, Risk assessment & risk perception","['risk', 'factor', 'percept', 'hazard', 'assess', 'high', 'relat', 'increas', 'map', 'higher']",213170,Other,Methods,Risk assessment & risk perception,#bdbdbd,Risk
213129,"Latin America 
and the Caribbean",7.6287848415353565,0.019140872438054048,93.15580546361451,0.01863054236316836,1.0273921212242636,213129,"Urban, Urban areas","['urban', 'citi', 'uhi', 'area', 'island', 'green', 'rural', 'plan', 'land', 'space']",213129,Mediating pathways,Geographic exposure,Urban areas,#b3cde3,Urban
213154,"Latin America 
and the Caribbean",9.04775356776227,0.022701111708982435,107.88727479891851,0.021576738385597642,1.0521104396452852,213154,"Meteorology, Meteorological variables","['meteorolog', 'humid', 'correl', 'wind', 'factor', 'pressur', 'relat', 'speed', 'weather', 'atmospher']",213154,Exposure,General seasonality & weather,Meteorological variables,#fbb4ae,Meteorology
213146,"Latin America 
and the Caribbean",8.785016153502431,0.022041894882775602,104.6009780477548,0.020919500862549095,1.0536530019335146,213146,"Seasonality, Seasonality ","['season', 'winter', 'summer', 'variat', 'dure', 'pattern', 'spring', 'dri', 'peak', 'raini']",213146,Exposure,General seasonality & weather,Seasonality,#fbb4ae,Seasonality
213127,"Latin America 
and the Caribbean",6.150372878160249,0.015431488127228376,72.18456023948877,0.014436432606808932,1.0689266903757184,213127,"Malaria, Malaria","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'control', 'anophel', 'elimin', 'intervent']",213127,Health impact,Infectious,Malaria,#fed9a6,Malaria
213165,"Latin America 
and the Caribbean",3.5302274951423325,0.008857457061042384,39.178048074058076,0.007835349398970938,1.130448255722417,213165,"PAH, Polycyclic aromatic hydrocarbons ","['pah', 'sourc', 'combust', 'aromat', 'hydrocarbon', 'polycycl', 'sampl', 'cancer', 'burn', 'biomass']",213165,Exposure,Emissions,PAH,#fbb4ae,PAH
213136,"Latin America 
and the Caribbean",6.5905671845931035,0.016535950140826493,70.20987810906284,0.014041509296322809,1.1776476297428318,213136,"Hospital, Hospital admissions","['hospit', 'admiss', 'respiratori', 'associ', 'ami', 'pneumonia', 'daili', 'cardiovascular', 'copd', 'increas']",213136,Health impact,Health system demand,Hospital admissions,#fed9a6,Hospital
213158,"Latin America 
and the Caribbean",7.639966223397577,0.01916892689342952,78.70620371077726,0.015740717985102157,1.217792410204668,213158,"Vulnerability, Vulnerability","['vulner', 'social', 'hazard', 'indic', 'index', 'popul', 'livelihood', 'capac', 'assess', 'econom']",213158,Mediating pathways,Social vulnerability,Vulnerability,#b3cde3,Vulnerability
213138,"Latin America 
and the Caribbean",12.13124337405736,0.030437689194428453,118.49610245605815,0.023698433454479754,1.2843755792083702,213138,"Model, Modelling & forecasting","['model', 'predict', 'forecast', 'use', 'data', 'variabl', 'develop', 'accuraci', 'error', 'estim']",213138,Other,Methods,Modeling & forecasting,#bdbdbd,Model
213135,"Latin America 
and the Caribbean",11.081745738738222,0.027804465059922644,99.01311957294723,0.01980196628146543,1.4041264723265146,213135,"Infectious, Infectious diseases general","['diseas', 'infecti', 'respiratori', 'cardiovascular', 'vectorborn', 'burden', 'heart', 'chronic', 'diarrheal', 'prevent']",213135,Health impact,Infectious,Infectious diseases general,#fed9a6,Infectious
213174,"Latin America 
and the Caribbean",3.070652048532539,0.0077043671283802675,27.269731118605872,0.005453765101476527,1.4126694100364579,213174,"Spores, Fungal spores","['spore', 'fungal', 'airborn', 'alternaria', 'cladosporium', 'fungi', 'concentr', 'allergen', 'bioaerosol', 'type']",213174,Health impact,Respiratory,Fungal spores,#fed9a6,Spores
213168,"Latin America 
and the Caribbean",15.288327631244853,0.03835891758115701,119.85115659249975,0.023969435281662947,1.6003262959850488,213168,"Spatial, Spatial analyses","['spatial', 'area', 'region', 'distribut', 'map', 'cluster', 'use', 'environment', 'geograph', 'data']",213168,Other,Methods,Spatial analyses,#bdbdbd,Spatial
213180,"Latin America 
and the Caribbean",3.2915094763904458,0.0082585056892961,25.299772013759384,0.005059786364736531,1.6321846603747134,213180,"Cholera, Cholera","['cholera', 'outbreak', 'epidem', 'nino', 'vibrio', 'rainfal', 'haiti', 'enso', 'bangladesh', 'sanit']",213180,Health impact,Infectious,Cholera,#fed9a6,Cholera
213163,"Latin America 
and the Caribbean",11.163691025809314,0.02801006848423049,82.59280879847552,0.016518013188282492,1.6957286669379952,213163,"Incidence, Disease incidence","['incid', 'rate', 'provinc', 'per', 'irr', 'annual', 'year', 'correl', 'week', 'increas']",213163,Other,Methods,Disease incidence,#bdbdbd,Incidence
213156,"Latin America 
and the Caribbean",5.276798283998326,0.013239660697394481,37.92251643569399,0.007584251410386893,1.7456779820434631,213156,"Influenza, Influenza","['influenza', 'epidem', 'week', 'activ', 'virus', 'pandem', 'vaccin', 'ili', 'surveil', 'temper']",213156,Health impact,Infectious,Influenza,#fed9a6,Influenza
213186,"Latin America 
and the Caribbean",12.698964832535998,0.03186212103289391,89.79804468455245,0.017959012509195547,1.7741577392732233,213186,"Rainfall, Monthly rainfall","['month', 'rainfal', 'period', 'correl', 'variabl', 'trend', 'mean', 'averag', 'precipit', 'maximum']",213186,Exposure,Precipitation variabilty,Montly rainfall,#fbb4ae,Rainfall
213160,"Latin America 
and the Caribbean",8.52556754227145,0.021390929771692064,60.05113036504122,0.012009827220688139,1.781118860298342,213160,"RSV, Respiratory viruses","['infect', 'rsv', 'respiratori', 'virus', 'preval', 'rate', 'syncyti', 'detect', 'viral', 'tract']",213160,Health impact,Respiratory,Respiratory viruses,#fed9a6,RSV
213134,"Latin America 
and the Caribbean",18.97664077677162,0.047613016745909106,94.70625358401307,0.01894062168935982,2.5138043263203147,213134,"Case, Case data","['case', 'report', 'number', 'year', 'occur', 'confirm', 'surveil', 'period', 'dure', 'fever']",213134,Other,Methods,Case data,#bdbdbd,Case
213142,"Latin America 
and the Caribbean",15.399831910346393,0.038638685490059034,76.847227868478,0.015368935163734243,2.514076940166547,213142,"Transmission, Transmission","['transmiss', 'outbreak', 'virus', 'wnv', 'epidem', 'zika', 'vector', 'spread', 'human', 'chikungunya']",213142,Health impact,Infectious,Transmission,#fed9a6,Transmission
213137,"Latin America 
and the Caribbean",16.055132558175206,0.040282856399215396,72.67621615891672,0.01453476052517557,2.771484010998441,213137,"Mosquito, Mosquito vector dynamics","['mosquito', 'vector', 'abund', 'speci', 'aed', 'aegypti', 'albopictus', 'popul', 'trap', 'densiti']",213137,Health impact,Infectious,Mosquito vector dynamics,#fed9a6,Mosquito
213175,"Latin America 
and the Caribbean",5.765502045881145,0.014465834532481113,25.616040573332043,0.005123037976033672,2.823682861644677,213175,"Suicide, Suicide","['suicid', 'associ', 'rate', 'attempt', 'male', 'men', 'hang', 'adjust', 'sunshin', 'studi']",213175,Health impact,Mental health,Suicide,#fed9a6,Suicide
213189,"Latin America 
and the Caribbean",7.204030548140635,0.018075149925719056,25.970416472194465,0.0051939108020844435,3.480065525666143,213189,"Leptospirosis, Leptospirosis","['leptospirosi', 'leptospira', 'human', 'anim', 'rodent', 'serovar', 'dog', 'zoonot', 'outbreak', 'rainfal']",213189,Health impact,Infectious,Leptospirosis,#fed9a6,Leptospirosis
213128,"Latin America 
and the Caribbean",22.066334686330617,0.05536516053078991,71.45369474470817,0.01429026436217273,3.8743272431925844,213128,"Dengue, Dengue","['dengu', 'fever', 'outbreak', 'denv', 'epidem', 'aed', 'control', 'vector', 'serotyp', 'aegypti']",213128,Health impact,Infectious,Dengue,#fed9a6,Dengue
213172,Northern Africa and Western Asia,0.076102491390521,0.0005643861588496603,53.75251133304815,0.010750145248952738,0.05250032867273508,213172,"Mental, Mental health & PTSD","['mental', 'ptsd', 'disord', 'depress', 'stress', 'posttraumat', 'psycholog', 'anxieti', 'survivor', 'health']",213172,Health impact,Mental health,Mental health & PTSD,#fed9a6,Mental
213148,Northern Africa and Western Asia,0.042421596118870204,0.0003146041771870683,29.219310855491994,0.00584366809998174,0.053836763451375926,213148,"HFMD, Hand-foot-and-mouth disease","['hfmd', 'foot', 'mouth', 'hand', 'factor', 'diseas', 'meteorolog', 'childhood', 'humid', 'relat']",213148,Health impact,Infectious,HFMD,#fed9a6,HFMD
213189,Northern Africa and Western Asia,0.08068261324519745,0.0005983529493369713,25.970416472194465,0.0051939108020844435,0.11520277727850806,213189,"Leptospirosis, Leptospirosis","['leptospirosi', 'leptospira', 'human', 'anim', 'rodent', 'serovar', 'dog', 'zoonot', 'outbreak', 'rainfal']",213189,Health impact,Infectious,Leptospirosis,#fed9a6,Leptospirosis
213151,Northern Africa and Western Asia,0.38200221644294136,0.0028329790480044912,56.41497072831313,0.011282619444273546,0.2510923161059341,213151,"Farmer, Farmers & agriculture","['farmer', 'crop', 'agricultur', 'farm', 'product', 'percept', 'yield', 'pest', 'smallhold', 'rice']",213151,Health impact,Food & nutrition,Farmers & agriculture,#fed9a6,Farmer
213167,Northern Africa and Western Asia,0.48528914676320634,0.003598968607580036,60.59918110393669,0.012119433728380735,0.29695847910386575,213167,"Hurricane, Hurricanes","['hurrican', 'evacu', 'sandi', 'storm', 'katrina', 'new', 'recoveri', 'york', 'resid', 'damag']",213167,Exposure,Extreme precipitation & flooding,Hurricanes,#fbb4ae,Hurricane
213139,Northern Africa and Western Asia,0.6631809555868785,0.004918237830418065,81.46214503349711,0.01629188794501832,0.30188262078747896,213139,"Resilience, Community resilience","['communiti', 'resili', 'social', 'local', 'particip', 'interview', 'knowledg', 'build', 'resid', 'percept']",213139,Intervention option,Developing community resilience,Community resilience,#ccebc5,Resilience
213169,Northern Africa and Western Asia,0.6549096462682282,0.004856896704658391,77.40548071907742,0.015480582026006443,0.31374122087264533,213169,"Adaptation, Adaptation","['adapt', 'strategi', 'plan', 'polici', 'capac', 'climat', 'chang', 'govern', 'develop', 'local']",213169,Intervention option,Policy & practice,Adaptation,#ccebc5,Adaptation
